task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	9e/509f2b	12235	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz)	COMPLETED	0	2023-07-04 14:49:03.893	4.5s	18ms	98.5%	0	0	115.8 KB	200.5 KB
3	a6/fa08c4	12244	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:UNTAR_SALMON_INDEX (salmon.tar.gz)	COMPLETED	0	2023-07-04 14:49:03.903	8.3s	58ms	100.6%	1.5 MB	3.9 MB	3.3 MB	2.5 MB
1	77/bcd585	12237	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_ADDITIONAL_FASTA (gfp.fa.gz)	COMPLETED	0	2023-07-04 14:49:03.897	11.9s	18ms	100.3%	0	0	105.9 KB	1.7 KB
2	c8/94a2db	12713	NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv)	COMPLETED	0	2023-07-04 14:49:07.996	12.6s	0ms	79.2%	1.3 MB	5.4 MB	1.5 MB	1.7 KB
5	80/1f2c66	12869	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa)	COMPLETED	0	2023-07-04 14:49:16.058	9s	0ms	91.7%	1.3 MB	5.4 MB	2.2 MB	429.7 KB
6	1b/344a67	13105	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-07-04 14:49:21.928	8.8s	17ms	67.5%	0	0	4.4 MB	4.3 MB
7	fb/e0b111	13148	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (WT_REP1)	COMPLETED	0	2023-07-04 14:49:22.014	12.4s	22ms	95.2%	0	0	8.5 MB	8.4 MB
16	09/caae32	13518	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome_gfp.fasta)	COMPLETED	0	2023-07-04 14:49:31.227	7.8s	0ms	100.0%	2.7 MB	11.9 MB	350.3 KB	4.9 KB
14	5b/afbc5f	13574	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE (genome_gfp.fasta)	COMPLETED	0	2023-07-04 14:49:31.780	11.8s	0ms	108.9%	1.6 MB	5.4 MB	4.7 MB	6.2 MB
15	09/a8f946	13634	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (genome_gfp.gtf)	COMPLETED	0	2023-07-04 14:49:31.892	15.3s	0ms	16.2%	1 MB	11 MB	407.5 KB	7.8 KB
20	27/00cf7f	14024	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WT_REP1)	COMPLETED	0	2023-07-04 14:49:38.623	12.3s	3s	100.4%	3.9 MB	11.3 MB	12.7 MB	8.5 MB
11	b5/18f1f2	14424	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:49:58.671	11.9s	4s	193.6%	205.2 MB	3.7 GB	21.8 MB	1.8 MB
13	19/1133ea	14415	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT_REP2)	COMPLETED	0	2023-07-04 14:49:58.660	16.3s	5s	262.7%	310.9 MB	3.8 GB	24.9 MB	3.6 MB
18	51/31a81e	14419	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-07-04 14:49:58.668	20.8s	4s	195.1%	277.7 MB	3.8 GB	23.8 MB	1.8 MB
8	4a/07c796	14417	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:49:58.665	24.7s	4s	267.4%	284 MB	3.8 GB	25.1 MB	3.6 MB
21	35/8e573c	15974	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WT_REP1)	COMPLETED	0	2023-07-04 14:50:04.307	23.4s	2s	106.2%	254.4 MB	399.2 MB	9.4 MB	24.2 KB
17	f2/9cf2ef	17349	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:BBMAP_BBSPLIT	COMPLETED	0	2023-07-04 14:50:10.151	21.8s	2s	167.8%	372.1 MB	8.6 GB	4.3 MB	4.9 MB
10	b7/d66830	16064	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:50:07.313	28.4s	7s	154.5%	207.5 MB	3.7 GB	73.2 MB	40.2 MB
19	99/1e5790	16049	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-07-04 14:50:07.299	32.9s	8s	164.2%	227.4 MB	3.7 GB	115.7 MB	78.6 MB
9	12/e3b606	16059	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:50:07.310	36.5s	10s	211.9%	199.1 MB	3.7 GB	171.8 MB	120.4 MB
12	3b/f8e00f	16051	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (WT_REP2)	COMPLETED	0	2023-07-04 14:50:07.305	40s	10s	209.8%	210.8 MB	3.7 GB	171 MB	119.9 MB
22	8b/e9bfba	20938	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT_REP1)	COMPLETED	0	2023-07-04 14:50:27.725	23.1s	3s	273.3%	364.3 MB	3.8 GB	29.2 MB	3.6 MB
23	d0/b137a7	20936	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (WT_REP1)	COMPLETED	0	2023-07-04 14:50:27.720	26.7s	14s	186.7%	275.8 MB	3.8 GB	294.3 MB	236.5 MB
24	78/fb6f7c	21840	NFCORE_RNASEQ:RNASEQ:BBMAP_BBSPLIT (1)	COMPLETED	0	2023-07-04 14:50:35.738	22.6s	11s	295.6%	1 GB	12 GB	21.4 MB	14.3 MB
25	1e/a8f583	22955	NFCORE_RNASEQ:RNASEQ:BBMAP_BBSPLIT (2)	COMPLETED	0	2023-07-04 14:50:40.206	23s	15s	281.2%	1 GB	11.7 GB	35.3 MB	28.7 MB
29	9b/596f70	29957	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_QUANT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:50:58.450	8.4s	1s	59.5%	238 MB	388.5 MB	3.8 MB	33.3 KB
26	87/442fe4	24055	NFCORE_RNASEQ:RNASEQ:BBMAP_BBSPLIT (3)	COMPLETED	0	2023-07-04 14:50:43.789	26.8s	19s	271.5%	1.1 GB	12.3 GB	35.7 MB	29.2 MB
32	95/f90d92	32373	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_QUANT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-07-04 14:51:03.268	11s	1s	108.5%	1.8 MB	19 MB	6.4 MB	33.4 KB
30	43/b5bf48	29893	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:50:58.355	19.4s	10s	98.5%	592.3 MB	4.3 GB	26.6 MB	6.4 MB
27	6a/ac2681	25133	NFCORE_RNASEQ:RNASEQ:BBMAP_BBSPLIT (4)	COMPLETED	0	2023-07-04 14:50:47.332	34s	20s	271.8%	1.1 GB	12.3 GB	35.4 MB	29 MB
34	ae/4c62f4	35177	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_QUANT (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:51:10.642	14.5s	1s	105.3%	1.8 MB	16.3 MB	6.5 MB	35.1 KB
36	50/416e60	37018	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:51:18.099	11.4s	3s	95.4%	736.1 MB	952.8 MB	3.4 MB	28.7 KB
31	14/96dd0d	32348	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-07-04 14:51:03.258	30.5s	20s	98.2%	597.6 MB	4.3 GB	50.2 MB	12.9 MB
35	d9/a8db1e	38226	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:51:23.521	14.4s	1s	58.4%	3.7 MB	14 MB	3.5 MB	1.5 MB
39	8f/ce4440	39911	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-07-04 14:51:33.777	8s	0ms	156.1%	8.1 MB	1.7 GB	6.9 MB	2.9 MB
37	ff/2adb64	37739	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_QUANT (WT_REP2)	COMPLETED	0	2023-07-04 14:51:21.496	24.2s	1s	102.8%	1.8 MB	19 MB	6.4 MB	34.9 KB
28	ca/e8e98f	27746	NFCORE_RNASEQ:RNASEQ:BBMAP_BBSPLIT (5)	COMPLETED	0	2023-07-04 14:50:54.438	55.1s	33s	242.6%	1.1 GB	12.4 GB	63.5 MB	58.3 MB
40	a5/e46982	39993	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-07-04 14:51:33.827	20s	2s	108.3%	753.2 MB	965.8 MB	6.5 MB	28.8 KB
41	e8/a37b6f	40793	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:51:37.925	20.4s	0ms	116.4%	3.1 MB	220.9 MB	1.6 MB	6 KB
43	67/3edfee	41202	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (RAP1_UNINDUCED_REP2)	COMPLETED	0	2023-07-04 14:51:41.756	20.7s	1s	121.0%	3.1 MB	220.9 MB	3 MB	6.6 KB
46	17/842677	41763	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_QUANT (WT_REP1)	COMPLETED	0	2023-07-04 14:51:49.612	16.6s	2s	105.0%	264.2 MB	420.5 MB	11.8 MB	35.1 KB
47	f7/7e6cfb	44053	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_TX2GENE (genome_gfp.gtf)	COMPLETED	0	2023-07-04 14:52:06.760	4.9s	0ms	71.1%	1.6 MB	9.4 MB	2 MB	4.7 KB
33	a3/291aae	35175	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:51:10.635	1m 17s	1m 10s	99.6%	609.4 MB	4.3 GB	51 MB	12.4 MB
49	85/6edd42	45831	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:52:27.344	5.1s	1s	156.4%	4 MB	14 MB	6.8 MB	3.3 MB
50	98/3a6c61	45939	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:52:27.611	8.8s	3s	132.3%	837.5 MB	1.1 GB	6.2 MB	30.8 KB
51	53/6359bf	46626	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (RAP1_IAA_30M_REP1)	COMPLETED	0	2023-07-04 14:52:32.497	10s	0ms	123.9%	3.1 MB	220.9 MB	3.5 MB	6.2 KB
38	63/600628	37650	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (WT_REP2)	COMPLETED	0	2023-07-04 14:51:21.388	1m 26s	1m 14s	99.4%	610.4 MB	4.3 GB	50.8 MB	11.7 MB
42	33/e5ffad	47387	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (RAP1_UNINDUCED_REP1)	COMPLETED	0	2023-07-04 14:52:42.654	9.3s	3s	378.2%	1.8 GB	12.6 GB	20.8 MB	2.3 MB
