gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
Gfp_transgene_gene	Gfp_transgene_gene	0	0	0	0	0
HRA1	HRA1	0	0	0	0	0
snR18	snR18	10427.736754	81850.398433	21145.064591	14884.608796	28538.422364
tA(UGC)A	TGA1	0	0	0	0	0
tL(CAA)A	SUP56	0	0	0	0	0
tP(UGG)A	TRN1	0	0	0	3041.390333	0
tS(AGA)A	tS(AGA)A	4744.689519	0	0	0	0
YAL001C	TFC3	754.186058	796.098724	666.230688	436.451248	416.433153
YAL002W	VPS8	447.472822	334.620218	429.605966	415.410482	314.57336
YAL003W	EFB1	63495.174693	79145.348124	85470.362691	59372.630502	71445.831778
YAL004W	YAL004W	94.813448	0	47.05973	0	95.80896
YAL005C	SSA1	159405.414695	137013.593377	148979.219615	112546.742901	111814.19541
YAL007C	ERP2	4361.418588	5100.576195	6211.884295	3065.521023	4215.594222
YAL008W	FUN14	1485.138138	1775.962253	1295.430939	562.180034	321.385953
YAL009W	SPO7	1040.951365	1025.95822	671.444671	354.741361	375.904888
YAL010C	MDM10	380.682691	353.089517	547.298544	550.673563	350.205787
YAL011W	SWC3	265.892341	534.405755	414.17187	267.970718	457.47486
YAL012W	CYS3	11046.440865	8956.011774	10737.067407	9131.80557	10407.129096
YAL013W	DEP1	346.526025	674.079989	677.212846	482.436464	438.262198
YAL014C	SYN8	1213.483402	1399.634122	1554.788056	1125.72392	1303.635698
YAL015C	NTG1	528.862458	457.901354	552.035398	186.99244	267.544031
YAL016C-A	YAL016C-A	0	0	0	0	0
YAL016C-B	YAL016C-B	0	0	0	0	0
YAL016W	TPD3	3867.325716	3498.241127	3682.693478	2688.933912	2750.415262
YAL017W	PSK1	1164.620222	1081.538782	1029.377697	623.994729	707.390422
YAL018C	LDS1	0	0	0	0	0
YAL019W	FUN30	1422.296484	1279.023559	1416.937637	1389.47013	1197.439367
YAL019W-A	YAL019W-A	0	0	0	0	0
YAL020C	ATS1	654.545421	385.643872	448.319022	347.119654	110.355307
YAL021C	CCR4	2034.725275	1633.194969	1679.39213	1397.996644	1549.564548
YAL022C	FUN26	1377.962954	1000.78133	1235.245725	939.702177	896.43388
YAL023C	PMT2	6500.917139	5767.940462	6080.256141	4932.821204	5316.277507
YAL024C	LTE1	537.988885	464.521248	456.936288	401.886711	511.28566
YAL025C	MAK16	1147.91886	1566.714147	1563.140473	1601.694938	1283.336333
YAL026C	DRS2	1421.929856	1576.10972	1545.227	1115.475896	1458.791868
YAL026C-A	YAL026C-A	2014.404059	2121.041267	1893.974772	1295.415863	905.666911
YAL027W	SAW1	736.308601	676.315742	698.872105	195.164196	148.902267
YAL028W	FRT2	288.406812	216.906649	266.167296	67.988214	129.716409
YAL029C	MYO4	1904.630934	1540.168668	1614.015423	1367.999976	1505.692424
YAL030W	SNC1	3349.579717	4531.245608	7203.647547	1893.675543	1915.206921
YAL031C	GIP4	816.83546	713.24198	663.32691	410.485219	326.356751
YAL031W-A	YAL031W-A	0	0	0	0	0
YAL032C	PRP45	655.125713	570.23296	778.653461	446.7176	615.463422
YAL033W	POP5	1670.203989	1599.287804	1652.626966	1224.724705	906.969361
YAL034C	FUN19	677.552817	584.685868	830.756035	247.055135	257.080873
YAL034C-B	YAL034C-B	0	0	0	0	0
YAL034W-A	MTW1	518.48842	116.937174	755.232759	171.811008	393.306808
YAL035W	FUN12	6544.397237	6319.86294	5919.667072	6450.915746	6316.873291
YAL036C	RBG1	2366.028273	2486.954545	3201.484361	2099.891856	2344.856589
YAL037C-A	YAL037C-A	0	0	0	0	0
YAL037C-B	YAL037C-B	56.370004	0	77.502507	0	0
YAL037W	YAL037W	286.180856	327.170792	338.082534	151.715468	72.34455
YAL038W	CDC19	194498.525925	184406.096088	201154.466888	186324.290063	218503.239752
YAL039C	CYC3	637.881583	1100.46233	1304.394864	450.890519	358.342452
YAL040C	CLN3	981.563639	1068.334255	1154.145383	765.64992	1051.810682
YAL041W	CDC24	1156.919132	1017.833277	1132.686015	895.396146	959.869825
YAL042C-A	YAL042C-A	0	0	0	0	0
YAL042W	ERV46	5937.736708	5303.182844	5461.286348	3752.233681	4346.093726
YAL043C	PTA1	1307.831897	1152.175087	1199.487317	847.907485	924.527607
YAL044C	GCV3	4349.81502	7856.577346	8759.551294	3280.741829	3322.522563
YAL044W-A	YAL044W-A	1332.983304	1309.664546	3157.803238	982.877317	798.654602
YAL045C	YAL045C	0	0	314.297571	0	0
YAL046C	AIM1	471.345979	1016.360665	1225.301169	995.537346	1415.839049
YAL047C	SPC72	534.599737	514.985821	462.749163	269.388971	378.737422
YAL047W-A	YAL047W-A	0	0	0	0	0
YAL048C	GEM1	449.419155	437.757905	495.439637	344.338407	252.699053
YAL049C	AIM2	2064.9567	2731.709529	2479.501436	1431.36025	963.47117
YAL051W	OAF1	580.446856	751.565797	770.159953	664.441041	603.031622
YAL053W	FLC2	2414.689538	2224.69912	2334.538701	1468.591937	1432.74081
YAL054C	ACS1	69.095172	95.799481	69.296198	61.085147	23.31124
YAL055W	PEX22	727.900067	123.721923	319.620688	64.263	244.840352
YAL056C-A	YAL056C-A	0	0	0	0	0
YAL056W	GPB2	1120.44636	742.27984	1040.977734	701.532298	706.510213
YAL058W	CNE1	779.936626	777.413933	728.958576	701.456623	926.516803
YAL059C-A	YAL059C-A	0	0	0	0	0
YAL059W	ECM1	1642.6591	2143.347157	2022.237631	1690.101609	1952.597597
YAL060W	BDH1	2271.885948	2137.127658	2375.076817	1057.363244	1360.360214
YAL061W	BDH2	1256.363047	541.591491	1529.722449	199.901438	211.866712
YAL062W	GDH3	188.544214	709.529825	616.549447	260.003543	152.627579
YAL063C	FLO9	55.585507	95.036818	66.683901	28.771292	13.426943
YAL063C-A	YAL063C-A	0	830.613501	429.157988	0	0
YAL064C-A	TDA8	0	0	0	0	0
YAL064W	YAL064W	0	0	961.816777	0	0
YAL064W-B	YAL064W-B	210.786291	0	142.97535	111.416861	0
YAL065C	YAL065C	0	0	0	0	0
YAL066W	YAL066W	0	0	0	0	0
YAL067C	SEO1	28.171568	70.986665	48.9028	14.942866	0
YAL067W-A	YAL067W-A	0	0	0	0	0
YAL068C	PAU8	457.773267	962.400437	2486.245614	362.821004	229.302228
YAL068W-A	YAL068W-A	444.646376	0	867.726561	0	0
YAL069W	YAL069W	590.308185	554.936185	286.722159	0	0
YAR002C-A	ERP1	5919.852521	6896.44109	7126.449967	4167.497579	5982.881008
YAR002W	NUP60	1785.039517	1587.614178	1654.23537	1013.248011	1267.68196
YAR003W	SWD1	1103.276143	597.729297	635.831265	476.788609	578.835128
YAR007C	RFA1	1499.525228	1502.961069	1460.365914	1349.325322	1219.521187
YAR008W	SEN34	551.523254	878.040369	583.28011	146.200176	348.570286
YAR009C	YAR009C	219420.85274	185961.60538	186367.120683	256671.600147	231006.771139
YAR010C	YAR010C	226052.516954	205307.020626	206428.973473	281304.597804	244310.076439
YAR014C	BUD14	1274.49579	1176.2138	1673.724337	835.840394	1172.69104
